isin,exclude
CA30042G1019,1
CA30151G1081,1
CA30219M1059,1
CA30264T1049,1
CA30336Y1079,1
CA30371L1013,1
CA3060442074,1
CA3060711015,1
CA30710P1027,1
CA31200N2014,1
CA3144601067,1
CA31622P2061,1
CA31773B5018,1
CA3178891030,1
CA31788W1023,1
CA31810H1073,1
CA31810J2020,1
CA31816R1091,1
CA3183182011,1
CA31858L2003,1
CA3186411078,1
CA31866G1028,1
CA32050C1059,1
CA32072L1094,1
CA33716L1094,1
CA33773P1009,1
CA34380L1022,1
CA34416E8743,1
CA3442041024,1
CA34539A1066,1
CA34630Q1090,1
CA34638F1053,1
CA3485823056,1
CA34964F1099,1
CA34967D1015,1
CA34978T1030,1
CA3498013083,1
CA3499331013,1
CA35089X2068,1
CA35658P1053,1
CA3567773005,1
CA36112C2013,1
CA36117T1003,1
CA36118K1084,1
CA36165F1018,1
CA36171K2011,1
CA36173K1003,1
CA3619705021,1
CA36198C3075,1
CA36249G1090,1
CA36254S1056,1
CA36258E1025,1
CA36269D1015,1
CA36315W3012,1
CA3638821015,1
CA3660441054,1
CA36854R1010,1
CA36942L1085,1
CA36968P1080,1
CA37148M1068,1
CA37150L1031,1
CA3719572008,1
CA37252X1042,1
CA37254G1090,1
CA37452L1085,1
CA37518K1021,1
CA37556U1030,1
CA37637H1055,1
CA3763941026,1
CA37640A4028,1
CA37653W1014,1
CA37888C1023,1
CA37890Y3086,1
CA37895W1095,1
CA37953Y2033,1
CA37956H1082,1
CA37958W3012,1
CA37959W1023,1
CA37960T1066,1
CA37964Y1016,1
CA37989H1091,1
CA38018L2021,1
CA38021J2020,1
CA3804732079,1
CA38059A1075,1
CA3806011043,1
CA38065C1059,1
CA38065L1058,1
CA3807211006,1
CA38076F1053,1
CA38080W1023,1
CA3808134025,1
CA3810592038,1
CA38118L1022,1
CA3813663018,1
CA38141A4046,1
CA3814282008,1
CA38144C1005,1
CA38150G1028,1
CA38154G1081,1
CA38171A2092,1
CA3821131081,1
CA3834151068,1
CA3837981057,1
CA38503H2037,1
CA38611W3084,1
CA3873401028,1
CA38867G2053,1
CA38900X2077,1
CA38940L2057,1
CA3900873025,1
CA39032G1046,1
CA39101C1095,1
CA3911731014,1
CA39261L2049,1
CA3929211025,1
CA39328G1072,1
CA3933801001,1
CA3935762029,1
CA3952781043,1
CA3953321096,1
CA39540E3023,1
CA39540L1085,1
CA3980841033,1
CA3986921037,1
CA39944C1005,1
CA39944P1018,1
CA39986R3045,1
CA40136T2083,1
CA40281L1094,1
CA40443L1040,1
CA40637F1036,1
CA4113511097,1
CA41136M1023,1
CA41138T1057,1
CA41166G1081,1
CA42016R4017,1
CA4206341071,1
CA42328Y1025,1
CA4236301020,1
CA4236943060,1
CA42704B2057,1
CA4270861038,1
CA42727W1032,1
CA43004Y1016,1
CA43127Q1000,1
CA43358C1014,1
